ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b1bf5,HBKPH,2022-09-17T16:08:08Z,2022-09-17,2022-09-17T16:20:30Z,2022-09-17,LSGL,LSGL,4b1bf5_2022-09-17 18:08:08
4b1bdd,HBKOJ,2022-09-17T16:09:08Z,2022-09-17,2022-09-17T16:38:37Z,2022-09-17,LSGL,LSGL,4b1bdd_2022-09-17 18:09:08
4b4271,HBZEF,2022-09-17T16:39:42Z,2022-09-17,2022-09-17T16:52:50Z,2022-09-17,NA,LSGL,4b4271_2022-09-17 18:39:42
4b4271,HBZEF,2022-09-17T20:42:46Z,2022-09-17,2022-09-17T20:54:55Z,2022-09-17,NA,LSGL,4b4271_2022-09-17 22:42:46
4b43ad,RGA04,2022-09-17T21:02:11Z,2022-09-17,2022-09-17T21:19:08Z,2022-09-17,LSGG,LSGL,4b43ad_2022-09-17 23:02:11
4b1b0e,HBKGK,2022-09-18T08:05:16Z,2022-09-18,2022-09-18T08:42:19Z,2022-09-18,LSZB,LSGL,4b1b0e_2022-09-18 10:05:16
4b0acd,HBECJ,2022-09-18T09:11:20Z,2022-09-18,2022-09-18T09:50:05Z,2022-09-18,LSPL,LSGL,4b0acd_2022-09-18 11:11:20
4b28a6,HBPKG,2022-09-18T10:40:15Z,2022-09-18,2022-09-18T11:21:20Z,2022-09-18,LSPL,LSGL,4b28a6_2022-09-18 12:40:15
4b1bdd,HBKOJ,2022-09-18T10:58:30Z,2022-09-18,2022-09-18T11:35:12Z,2022-09-18,LSGE,LSGL,4b1bdd_2022-09-18 12:58:30
3b7b3b,DRAGO741,2022-09-18T11:03:49Z,2022-09-18,2022-09-18T11:14:29Z,2022-09-18,LFLI,LSGL,3b7b3b_2022-09-18 13:03:49
4b39c9,HBVWZ,2022-09-18T12:12:24Z,2022-09-18,2022-09-18T12:57:30Z,2022-09-18,NA,LSGL,4b39c9_2022-09-18 14:12:24
4b43ad,RGA04,2022-09-18T13:48:45Z,2022-09-18,2022-09-18T14:01:29Z,2022-09-18,LSGT,LSGL,4b43ad_2022-09-18 15:48:45
4b1af2,HBKFI,2022-09-18T14:11:04Z,2022-09-18,2022-09-18T14:31:16Z,2022-09-18,LFLP,LSGL,4b1af2_2022-09-18 16:11:04
391a38,HBOJI,2022-09-18T14:12:04Z,2022-09-18,2022-09-18T14:33:28Z,2022-09-18,NA,LSGL,391a38_2022-09-18 16:12:04
461108,FSF770W,2022-09-18T14:54:46Z,2022-09-18,2022-09-18T15:52:03Z,2022-09-18,LFPB,LSGL,461108_2022-09-18 16:54:46
460861,FSF145T,2022-09-18T16:13:16Z,2022-09-18,2022-09-18T17:45:47Z,2022-09-18,EGHI,LSGL,460861_2022-09-18 18:13:16
4d02a4,JFA88D,2022-09-18T17:00:04Z,2022-09-18,2022-09-18T17:11:51Z,2022-09-18,LSGG,LSGL,4d02a4_2022-09-18 19:00:04
4b43ad,RGA04,2022-09-19T05:41:13Z,2022-09-19,2022-09-19T05:51:15Z,2022-09-19,LSGB,LSGL,4b43ad_2022-09-19 07:41:13
460861,FSF687C,2022-09-19T07:06:07Z,2022-09-19,2022-09-19T08:50:57Z,2022-09-19,LSGL,LSGL,460861_2022-09-19 09:06:07
461838,FSF206V,2022-09-19T08:06:33Z,2022-09-19,2022-09-19T08:59:48Z,2022-09-19,NA,LSGL,461838_2022-09-19 10:06:33
400c04,GKENZ,2022-09-19T08:35:17Z,2022-09-19,2022-09-19T15:13:59Z,2022-09-19,LSGL,LSGL,400c04_2022-09-19 10:35:17
4b28e3,HBPMP,2022-09-19T08:41:34Z,2022-09-19,2022-09-19T10:49:47Z,2022-09-19,LFGA,LSGL,4b28e3_2022-09-19 10:41:34
460861,OHDEN,2022-09-19T11:28:03Z,2022-09-19,2022-09-19T11:39:27Z,2022-09-19,LSGL,LSGL,460861_2022-09-19 13:28:03
4b1b13,HBKGP,2022-09-19T11:35:53Z,2022-09-19,2022-09-19T12:20:58Z,2022-09-19,LSZB,LSGL,4b1b13_2022-09-19 13:35:53
4b1b0e,HBKGK,2022-09-19T11:46:04Z,2022-09-19,2022-09-19T12:29:29Z,2022-09-19,LSZB,LSGL,4b1b0e_2022-09-19 13:46:04
4b1bdd,HBKOJ,2022-09-19T12:12:37Z,2022-09-19,2022-09-19T12:57:59Z,2022-09-19,LSGL,LSGL,4b1bdd_2022-09-19 14:12:37
4b43ad,RGA04,2022-09-19T12:24:34Z,2022-09-19,2022-09-19T12:40:28Z,2022-09-19,LSGG,LSGL,4b43ad_2022-09-19 14:24:34
460cb6,FSF663R,2022-09-19T13:07:01Z,2022-09-19,2022-09-19T14:09:38Z,2022-09-19,LFPB,LSGL,460cb6_2022-09-19 15:07:01
461981,FSF620G,2022-09-19T13:37:35Z,2022-09-19,2022-09-19T15:53:49Z,2022-09-19,LEIB,LSGL,461981_2022-09-19 15:37:35
4b1af2,HBKFI,2022-09-19T13:40:36Z,2022-09-19,2022-09-19T13:53:53Z,2022-09-19,LSGB,LSGL,4b1af2_2022-09-19 15:40:36
4b28e3,HBPMP,2022-09-19T13:45:36Z,2022-09-19,2022-09-19T14:40:47Z,2022-09-19,LSGL,LSGL,4b28e3_2022-09-19 15:45:36
4b27c0,HBPBK,2022-09-19T14:16:38Z,2022-09-19,2022-09-19T15:50:46Z,2022-09-19,NA,LSGL,4b27c0_2022-09-19 16:16:38
461108,FSF22G,2022-09-19T14:25:30Z,2022-09-19,2022-09-19T15:16:44Z,2022-09-19,NA,LSGL,461108_2022-09-19 16:25:30
4b0f7f,BQA12,2022-09-19T14:35:18Z,2022-09-19,2022-09-19T16:19:24Z,2022-09-19,LIRZ,LSGL,4b0f7f_2022-09-19 16:35:18
4b1bdf,HBKOL,2022-09-19T14:35:23Z,2022-09-19,2022-09-19T15:57:44Z,2022-09-19,NA,LSGL,4b1bdf_2022-09-19 16:35:23
46316e,FSF314A,2022-09-19T14:56:51Z,2022-09-19,2022-09-19T16:38:52Z,2022-09-19,EGKB,LSGL,46316e_2022-09-19 16:56:51
4d02a4,JFA93K,2022-09-19T15:24:14Z,2022-09-19,2022-09-19T16:24:00Z,2022-09-19,NA,LSGL,4d02a4_2022-09-19 17:24:14
4b28e3,HBPMP,2022-09-19T16:12:05Z,2022-09-19,2022-09-19T16:52:13Z,2022-09-19,LSGL,LSGL,4b28e3_2022-09-19 18:12:05
4b0f7e,HBFWO,2022-09-19T16:32:54Z,2022-09-19,2022-09-19T17:24:04Z,2022-09-19,NA,LSGL,4b0f7e_2022-09-19 18:32:54
4b0f56,JFA95L,2022-09-20T07:12:39Z,2022-09-20,2022-09-20T07:38:02Z,2022-09-20,LSMA,LSGL,4b0f56_2022-09-20 09:12:39
4b28e3,HBPMP,2022-09-20T07:17:33Z,2022-09-20,2022-09-20T07:35:56Z,2022-09-20,LSGL,LSGL,4b28e3_2022-09-20 09:17:33
4b1bdd,HBKOJ,2022-09-20T07:32:36Z,2022-09-20,2022-09-20T09:16:29Z,2022-09-20,LSGL,LSGL,4b1bdd_2022-09-20 09:32:36
4b28e3,HBPMP,2022-09-20T08:19:44Z,2022-09-20,2022-09-20T09:48:27Z,2022-09-20,LSGL,LSGL,4b28e3_2022-09-20 10:19:44
4b1b54,HBKJC,2022-09-20T08:53:48Z,2022-09-20,2022-09-20T09:33:46Z,2022-09-20,LSPL,LSGL,4b1b54_2022-09-20 10:53:48
4b26f7,HBOTR,2022-09-20T08:56:12Z,2022-09-20,2022-09-20T09:35:17Z,2022-09-20,LSPL,LSGL,4b26f7_2022-09-20 10:56:12
4b1b8a,HBKLE,2022-09-20T09:01:33Z,2022-09-20,2022-09-20T09:24:44Z,2022-09-20,LSGE,LSGL,4b1b8a_2022-09-20 11:01:33
a661a9,N510CH,2022-09-20T09:41:58Z,2022-09-20,2022-09-20T11:44:05Z,2022-09-20,NA,LSGL,a661a9_2022-09-20 11:41:58
460cb6,FSF182Y,2022-09-20T12:00:10Z,2022-09-20,2022-09-20T12:43:29Z,2022-09-20,LFLC,LSGL,460cb6_2022-09-20 14:00:10
